Title,Creator,Identifier,Type,Image
What the Dead Leave Behind,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685776757/cover_images/tantor/9781541488946.jpg"
What the Dead Leave Behind,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685776757/cover_images/tantor/9781541488946.jpg"
What the Dead Leave Behind,,,audiobook,
Lies That Comfort and Betray,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685776761/cover_images/tantor/9781541488953.jpg"
Lies That Comfort and Betray,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685776761/cover_images/tantor/9781541488953.jpg"
Lies That Comfort and Betray,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685776761/cover_images/tantor/9781541488953.jpg"
Lies That Comfort and Betray,,,audiobook,
"Death, Diamonds, and Deception",Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685766983/cover_images/tantor/9781541434530.jpg"
"Death, Diamonds, and Deception",Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685766983/cover_images/tantor/9781541434530.jpg"
"Death, Diamonds, and Deception",Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685766983/cover_images/tantor/9781541434530.jpg"
"Death, Diamonds, and Deception",,,audiobook,
Death Brings a Shadow,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685834541/cover_images/tantor/9781977332295.jpg"
Death Brings a Shadow,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685834541/cover_images/tantor/9781977332295.jpg"
Death Brings a Shadow,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685834541/cover_images/tantor/9781977332295.jpg"
Death Brings a Shadow,,,audiobook,
The Warden,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1720548075/cover_images/dreamscape/9781666671513.jpg"
The Warden,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1720548075/cover_images/dreamscape/9781666671513.jpg"
The Warden,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1720548075/cover_images/dreamscape/9781666671513.jpg"
The Warden,,,audiobook,
Necrobane,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1723759304/cover_images/dreamscape/9781666678895.jpg"
Necrobane,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1723759304/cover_images/dreamscape/9781666678895.jpg"
Necrobane,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1723759304/cover_images/dreamscape/9781666678895.jpg"
Necrobane,,,audiobook,
Advocate,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1747836062/cover_images/dreamscape/9781666694857.jpg"
Advocate,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1747836062/cover_images/dreamscape/9781666694857.jpg"
Advocate,Daniel M. Ford,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1747836062/cover_images/dreamscape/9781666694857.jpg"
Advocate,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
,,,audiobook,
